NCBI_RefSeq	Heme	ENV	checkm_completeness	checkm_contamination	checkm_marker_set_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus	Species
GCA_002397465	0.20	fermentation	97.75	1.12	89	90.04578544	48.54432401	1535641	Firmicutes	Bacilli	RFN20	CAG-826	UBA4951	UBA4951 sp002397465
GCA_002398365	1.00	freshwater enviroment	95.77	1.25	336	88.72037911	42.40958482	4972082	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	ELB16-189	ELB16-189 sp002398365
GCA_002399085	0.20	fermentation	91.82	2	110	88.81198049	50.13230483	2369052	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	T78	T78 sp002399085
GCA_002399505	0.20	fermentation	81.79	0	89	75.92433909	41.29194513	1759852	Firmicutes	Bacilli	RFN20	CAG-288	UBA7642	UBA7642 sp002399505
GCA_002399785	0.20	fermentation	96.63	0	89	90.74045092	30.20978795	1303476	Firmicutes	Bacilli	RFN20	CAG-826	UBA4855	UBA4855 sp002399785
GCA_002401785	0.20	marine environment	82.02	0.37	89	89.74467912	35.08747091	1108605	Dependentiae	Babeliae	Babeliales	GCA-2401785	GCA-2401785	GCA-2401785 sp002401785
GCA_002401945	0.88	marine environment	85.45	0.6	313	88.58656099	57.49304958	4071297	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Parasedimentitalea	Parasedimentitalea sp002401945
GCA_002402025	1.00	marine environment	86.52	2.03	148	88.73730208	38.55373922	1731681	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	GCA-2402025	GCA-2402025 sp002402025
GCA_002402085	1.00	marine environment	87.88	3.36	270	83.43048599	46.03187944	4681121	Proteobacteria	Gammaproteobacteria	Pseudomonadales	UBA3067	GCA-002402085	GCA-002402085 sp002402085
GCA_002402165	0.80	marine environment	90.32	0	186	92.4727842	32.04431936	3057691	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	GCA-002793235	GCA-002793235 sp002402165
GCA_002402175	1.00	marine environment	90.93	0.31	270	89.09005168	45.30883351	3863648	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	UBA9145 sp002402175
GCA_002402225	0.90	marine environment	91.17	1.38	230	90.74146417	47.23454099	2554702	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Emcibacteraceae	Emcibacter_A	Emcibacter_A sp002402225
GCA_002402315	0.60	hydrocarbon	90.89	4.08	143	87.34076615	37.13466409	2982092	Firmicutes_A	Clostridia	UBA4821	UBA4821	UBA4821	UBA4821 sp002402315
GCA_002402965	0.50	hydrocarbon	93.1	3.62	210	91.97929754	50.77530502	3097023	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	SR-FBR-E99	SR-FBR-E99 sp002402965
GCA_002403075	0.20	hydrocarbon	89.91	1.2	91	91.74016113	66.57444171	2479552	Krumholzibacteriota	Krumholzibacteria	Krumholzibacteriales	Krumholzibacteriaceae	SSS58A	SSS58A sp002403075
GCA_002403305	0.50	hydrocarbon	97.14	2.38	210	91.59454712	50.52522654	3427989	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	SR-FBR-E99	SR-FBR-E99 sp002403305
GCA_002403335	0.20	hydrocarbon	96.43	0	56	90.4699024	38.67479637	1380542	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	UBA4770	UBA4770 sp002403335
GCA_002403385	0.70	hydrocarbon	92.58	1.29	155	86.55096264	45.91610587	1832146	Desulfobacterota	Syntrophia	Syntrophales	UBA4767	UBA4767	UBA4767 sp002403385
GCA_002403415	0.88	freshwater enviroment	88.7	0.4	293	88.60108194	63.63476234	2654480	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp002403415
GCA_002403455	0.88	freshwater enviroment	91.26	0.65	308	85.40989314	61.66556153	2777663	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	UBA4763	UBA4763 sp002403455
GCA_002404015	0.88	soil	81.02	3.7	108	89.59789412	69.4831306	2935396	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	UBA4736	UBA4736 sp002404015
GCA_002404055	0.90	soil	92.96	3.96	101	85.46931837	64.95063465	7555351	Chloroflexota	UBA4733	UBA4733	UBA4733	UBA4733	UBA4733 sp002404055
GCA_002404095	1.00	soil	91.16	3.49	86	86.07943192	62.44925018	6800994	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	UBA4732	UBA4732 sp002404095
GCA_002404155	0.90	soil	86.93	0	101	88.70981113	68.65813205	3269033	Chloroflexota	Ellin6529	P2-11E	P2-11E	UBA4735	UBA4735 sp002404155
GCA_002404295	1.00	soil	90.99	0.48	172	84.56347985	38.90858955	2898652	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500	UBA4722	UBA4722 sp002404295
GCA_002404795	0.20	host	80.69	3.1	149	86.07788038	61.32694495	2199938	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp002404795
GCA_002405165	0.20	host	95.14	0	124	88.45135712	35.1119857	1472528	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA4675	UBA4675 sp002405165
GCA_002405445	0.40	freshwater enviroment	87.01	3.75	336	86.10141066	46.17733107	3899590	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	ELB16-189	ELB16-189 sp002405445
GCA_002405475	1.00	freshwater enviroment	99.4	0.24	234	93.59362974	53.61407022	2339999	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	UBA4657	UBA4657 sp002405475
GCA_002405515	1.00	freshwater enviroment	90.08	0	87	85.25313272	68.03592442	3844742	Planctomycetota	Planctomycetes	Pirellulales	UBA1268	UBA4655	UBA4655 sp002405515
GCA_002405805	0.20	host	86.42	0.85	117	86.03682353	34.2210124	2054067	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	Zag111 sp002405805
GCA_002406015	0.20	host	95.64	0	149	90.83129509	41.76127122	2592100	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-632	CAG-632 sp002406015
GCA_002406055	0.10	host	91.67	1.14	88	89.93290131	35.56380879	1960098	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	UBA5920	UBA5920 sp002406055
GCA_002406115	0.20	host	90.45	0.16	89	84.76361448	36.32825544	1043338	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626	UBA4626 sp002406115
GCA_002407855	0.30	fermentation	97.31	0	186	89.45955932	32.86299229	2043425	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA10566	UBA10566 sp002407855
GCA_002407865	0.60	fermentation	86.71	2.25	89	80.70694261	51.30322697	3406500	Spirochaetota	UBA4802	UBA4802	UBA5368	UBA5368	UBA5368 sp002407865
GCA_002408105	1.00	marine environment	84.49	1.31	270	85.85846915	62.17604619	2657032	Proteobacteria	Gammaproteobacteria	Pseudomonadales	UBA5862	UBA5862	UBA5862 sp002408105
GCA_002408125	1.00	marine environment	98.85	0.11	308	90.92961839	63.25378807	3606695	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	UBA5336	UBA5336 sp002408125
GCA_002408445	0.70	fermentation	87.24	1.4	196	82.92144434	44.8101741	2920528	Firmicutes_B	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	UBA4851	UBA4851 sp002408445
GCA_002411005	0.20	fermentation	93.26	1.12	89	89.966442	29.24270393	1016449	Firmicutes	Bacilli	RF39	UBA660	UBA5348	UBA5348 sp002411005
GCA_002411015	0.50	fermentation	94.44	0.31	108	89.46237629	67.08481703	4440764	Armatimonadota	UBA5377	UBA5377	UBA5352	UBA5352	UBA5352 sp002411015
GCA_002411175	0.20	fermentation	91.82	2	110	86.079803	49.8088209	2235931	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	T78	T78 sp002411175
GCA_002412715	0.70	hydrocarbon	90.32	3.55	155	89.63359177	53.60583935	3699835	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	Delta-02	Delta-02 sp002412715
GCA_002413045	0.90	soil	86.64	1.39	108	90.641294	69.85679698	3029297	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	UBA5189	UBA5189 sp002413045
GCA_002413305	1.00	soil	82.17	1.71	117	86.26718748	69.16210627	2992730	Actinobacteriota	UBA4738	UBA4738	UBA4738	UBA4738	UBA4738 sp002413305
GCA_002413385	0.90	soil	80.6	2.59	116	85.39242566	58.88971961	3584921	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	UBA5172	UBA5172 sp002413385
GCA_002413665	1.00	soil	89.78	4.7	172	79.7883312	36.8924403	3472217	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500	UBA5158	UBA5158 sp002413665
GCA_002414385	1.00	marine environment	95.62	0.93	270	90.83192976	49.03877319	2745376	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA5109	UBA5109 sp002414385
GCA_002417685	0.20	bioreactor	82.27	2.73	110	88.11292526	49.21074427	1691703	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	49-20	49-20 sp002417685
GCA_002417975	0.90	fermentation	94.4	0.81	124	86.54030293	46.38341887	1960267	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UBA5808	UBA5808 sp002417975
GCA_002418215	0.90	bioreactor	95.91	2	110	87.51736595	59.21614757	4857925	Chloroflexota	Anaerolineae	Anaerolineales	EnvOPS12	UBA5796	UBA5796 sp002418215
GCA_002418265	0.20	bioreactor	99.15	1.28	117	91.98381756	59.24776496	2642617	Actinobacteriota	Acidimicrobiia	UBA5794	UBA5794	UBA5794	UBA5794 sp002418265
GCA_002418965	0.20	hydrocarbon	89.12	0.95	196	86.18356964	43.77003453	1937085	Firmicutes_B	Dehalobacteriia	UBA4068	UBA4068	UBA5757	UBA5757 sp002418965
GCA_002419025	0.90	hydrocarbon	80.36	0.6	168	89.92314302	57.53954278	1885320	Desulfobacterota	Dissulfuribacteria	Dissulfuribacterales	UBA5754	UBA5754	UBA5754 sp002419025
GCA_002419135	0.30	hydrocarbon	90.26	0	101	86.59782626	43.96139181	1308437	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA5627	UBA5627	UBA5627 sp002419135
GCA_002419365	0.70	hydrocarbon	95.04	2.48	141	91.03902864	55.51117953	2697096	Firmicutes_A	Clostridia	Saccharofermentanales	UBA5734	UBA5734	UBA5734 sp002419365
GCA_002420085	1.00	sediment	86.37	1.39	290	83.93330173	65.98707592	3442848	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	UBA11164	UBA11164 sp002420085
GCA_002420115	1.00	sediment	95	3.86	110	86.06309204	55.0605929	4375576	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_F	Nitrospira_F sp002420115
GCA_002420185	0.90	marine environment	97.3	2.73	148	85.11391087	48.68443336	3164404	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	UBA5691	UBA5691 sp002420185
GCA_002420305	0.70	marine environment	95.53	0	147	90.36308893	54.83447372	3809177	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Roseibacillus_B	RoseibacilluB sp002420305
GCA_002420425	1.00	marine environment	95.88	0.61	164	89.38586712	50.8014106	1907014	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA5680	UBA5680	UBA5680 sp002420425
GCA_002421425	0.20	hydrocarbon	96.61	1.69	59	95.23449618	41.76910039	1622116	WOR-3	Hydrothermia	UBA1063	UBA1063	UBA1063	UBA1063 sp002421425
GCA_002421905	0.90	hydrocarbon	94.57	0.43	230	91.49000525	46.48110982	2284549	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	UBA1573	UBA1573 sp002421905
GCA_002422365	0.80	hydrocarbon	81	0.84	119	87.69036908	59.6817249	1273710	Proteobacteria	Alphaproteobacteria	UBA1280	UBA6156	UBA6156	UBA6156 sp002422365
GCA_002422525	1.00	hydrocarbon	98.9	1.1	91	90.94869993	67.12027723	4508844	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	SLHB01	UBA6118	UBA6118 sp002422525
GCA_002422795	0.75	hydrocarbon	96.7	0	91	85.83752705	40.30612935	2365046	Proteobacteria	Alphaproteobacteria	Rickettsiales	UBA6187	UBA6187	UBA6187 sp002422795
GCA_002422865	0.30	hydrocarbon	96.4	1.59	210	90.89415394	36.77634527	3263409	Bacteroidota	Bacteroidia	NS11-12g	UKL13-3	UBA6183	UBA6183 sp002422865
GCA_002423185	0.80	hydrocarbon	93.64	2.39	230	89.14834107	53.44579868	2687543	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	UBA6147	UBA6147 sp002423185
GCA_002423245	0.80	hydrocarbon	84.14	0	58	89.34364897	68.89970443	3124578	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Frigidibacter	Frigidibacter sp002423245
GCA_002423285	0.90	hydrocarbon	87.61	1.01	230	91.10805106	52.05996408	2296257	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	UBA6139	UBA6139 sp002423285
GCA_002423545	0.60	hydrocarbon	84.97	1.58	116	88.96538717	69.45896688	3557814	Actinobacteriota	Thermoleophilia	UBA2241	UBA2241	UBA6103	UBA6103 sp002423545
GCA_002423585	1.00	hydrocarbon	96.67	2.5	120	92.48643807	66.17315114	2258343	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA6100	UBA6100 sp002423585
GCA_002423605	0.60	hydrocarbon	86.8	0.99	101	87.49439591	48.09851906	1655042	Chloroflexota	Dehalococcoidia	GIF9	UBA5620	UBA5620	UBA5620 sp002423605
GCA_002424095	0.20	fermentation	83.47	0	89	81.58322949	30.85247454	960543	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA5489	UBA5489 sp002424095
GCA_002425185	0.40	sludge	98.5	0.3	336	93.11083833	43.42113801	4193892	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	UBA2336	UBA2336 sp002425185
GCA_002426645	0.40	fermentation	89.41	2.54	118	86.81682143	39.45966779	2764925	Firmicutes_G	UBA5435	UBA5435	UBA5435	UBA5435	UBA5435 sp002426645
GCA_002427365	0.20	fermentation	96.25	0	89	85.88592963	36.04523032	1064080	Firmicutes	Bacilli	RFN20	CAG-826	UBA5455	UBA5455 sp002427365
GCA_002427425	0.20	fermentation	90.65	0	149	89.28465317	46.00220543	1908375	Firmicutes_A	Clostridia	Oscillospirales	CAG-382_A	UBA5448	UBA5448 sp002427425
GCA_002427475	0.30	fermentation	82.57	0	141	82.92264374	46.98429426	1666019	Firmicutes_A	Clostridia	Saccharofermentanales	DTU023	DTU032	DTU032 sp002427475
GCA_002427755	1.00	host	98.75	0.02	336	93.74317018	39.03801347	4055744	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fabibacter	Fabibacter sp002427755
GCA_002427815	1.00	soil	97.61	0.7	214	90.42184126	65.63181561	5179555	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter tataouinensiA
GCA_002427845	1.00	soil	91.78	2.99	117	83.16460397	54.10338833	5388017	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	UBA11741	UBA11741 sp002427845
GCA_002428045	0.80	microbial mat	90.03	4.76	148	90.7825715	58.25126698	4227307	Verrucomicrobiota	Kiritimatiellae	UBA8416	UBA8416	UBA8416	UBA8416 sp002428045
GCA_002428205	0.90	hydrocarbon	85.1	1.76	85	84.28665516	55.12149881	5408352	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	UBA6163	UBA6163 sp002428205
GCA_002428325	0.80	hydrocarbon	98.81	3.37	89	88.94175775	43.46350065	3564165	UBP4	UBA4092	UBA4092	UBA4092	UBA4092	UBA4092 sp002428325
GCA_002428365	1.00	hydrocarbon	87.02	1.55	193	91.34811145	64.98563033	2835092	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionicimonas	Propionicimonas sp002428365
GCA_002428665	1.00	hydrocarbon	99.32	4.05	148	89.79145052	57.89220942	6891410	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA8199	UBA6082	UBA6082 sp002428665
GCA_002428685	0.30	hydrocarbon	95.6	1.1	91	89.13535251	44.36828543	2714667	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	UBA5553	UBA5553 sp002428685
GCA_002428995	1.00	host	99.46	0	186	92.78101687	49.1535796	5325570	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	UBA6057	UBA6057 sp002428995
GCA_002429045	0.30	host	94.18	0.57	88	89.9620447	67.58747624	2992731	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA6054	UBA6054 sp002429045
GCA_002429065	0.90	host	95.44	1.38	148	92.08244688	54.98128274	5686037	Verrucomicrobiota	Kiritimatiellae	SS1-B-03-39	UBA6053	UBA6053	UBA6053 sp002429065
GCA_002429315	0.88	soil	92.79	0.58	230	88.04248386	63.12759129	3507685	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium	Rhizomicrobium sp002429315
GCA_002429385	1.00	soil	100	2.96	186	85.51729923	40.83596732	4995049	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	UBA6024	UBA6024 sp002429385
GCA_002431545	1.00	marine environment	91.91	3.15	270	83.64205047	55.58103772	3124921	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	HB2-32-21	HB2-32-21 sp002431545
GCA_002431715	0.70	bioreactor	81.14	1.95	108	87.17895098	49.07926098	3290035	Armatimonadota	UBA5829	UBA5829	UBA5829	UBA5829	UBA5829 sp002431715
GCA_002433005	0.30	bioreactor	94.92	0	59	91.97719529	46.19851949	1982748	Synergistota	Synergistia	Synergistales	Acetomicrobiaceae	Acetomicrobium	Acetomicrobium sp002433005
GCA_002433595	0.90	marine environment	84.63	1.71	117	92.78791575	44.90187093	1134568	Margulisbacteria	Marinamargulisbacteria	UBA6595	UBA6595	UBA6595	UBA6595 sp002433595
GCA_002435785	1.00	hydrocarbon	96.72	0.51	198	87.78236057	51.43534183	5735707	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	UBA6168	UBA6168 sp002435785
GCA_002435875	0.20	hydrocarbon	83.85	2.48	109	90.75310333	59.6765431	2894636	Chloroflexota	Anaerolineae	UBA2200	UBA2200	UBA6131	UBA6131 sp002435875
GCA_002435985	0.20	hydrocarbon	80.57	1.15	87	92.63618275	54.89048821	1723291	Spirochaetota	Spirochaetia	Treponematales	UBA8932	Rectinema	Rectinema sp002435985
GCA_002436025	0.20	hydrocarbon	91.76	1.1	91	94.0149731	58.86632954	2824933	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	UBA6080	UBA6080 sp002436025
GCA_002436085	0.20	hydrocarbon	92.27	2.91	110	86.29577526	54.88956868	2156678	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	49-20	49-20 sp002436085
GCA_002436105	0.30	hydrocarbon	90.14	0.85	117	90.64032818	62.56247999	3116808	Acidobacteriota	Aminicenantia	UBA2199	UBA2199	UBA2199	UBA2199 sp002436105
GCA_002436185	0.10	marine environment	87.18	0	91	93.60722004	38.83863191	1802205	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	UBA2126 sp002436185
GCA_002437405	0.90	host	91.28	0	148	89.23833336	54.93161851	2038569	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312	CAG-312 sp002437405
GCA_002437665	0.10	host	90.11	0	91	88.93251181	47.16696214	932741	Proteobacteria	Alphaproteobacteria	Rs-D84	Rs-D84	Rs-D84	Rs-D84 sp002437665
GCA_002439755	0.30	host	94.86	0.14	269	91.69428904	47.38213816	2379110	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA6382	UBA6382 sp002439755
GCA_002440125	0.20	host	94.94	0	89	89.53311334	44.16922624	1530350	Firmicutes	Bacilli	RFN20	CAG-826	UBA4951	UBA4951 sp002440125
GCA_002440635	0.90	sludge	98.73	0.9	293	91.29253988	63.78723778	3289972	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp002440635
GCA_002440705	1.00	sludge	94.72	1.9	263	94.06861837	43.5425902	2904062	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	BACL21	BACL21 sp002440705
GCA_002440825	0.90	hydrocarbon	87.05	3.57	112	93.71544928	41.38750667	3606654	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax sp002440825
GCA_002441055	0.88	hydrocarbon	80.83	1.63	308	89.65529488	67.36279043	2731117	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium sp002441055
GCA_002441095	0.20	hydrocarbon	89.79	2.25	89	92.08916647	45.11507828	1908206	UBA6262	UBA6262	UBA6262	UBA6262	UBA6262	UBA6262 sp002441095
GCA_002441865	0.20	host	85	2.59	174	87.75502275	44.78516056	2496542	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-194	CAG-194 sp002441865
GCA_002448235	0.70	hydrocarbon	92.26	1.29	155	89.35407887	54.4936486	3765630	Desulfobacterota	Desulfomonilia	UBA1062	UBA1062	UBA1062	UBA1062 sp002448235
GCA_002449555	0.20	host	83.91	1.88	124	85.85761202	62.78766868	2278816	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	UBA1367	UBA1367 sp002449555
GCA_002449755	0.20	host	90.42	2.67	75	91.94369487	28.7856604	1832515	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Anaeroplasma	Anaeroplasma sp002449755
GCA_002449845	0.30	host	96.58	0.49	270	89.71672292	43.43957799	4125572	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002449845
GCA_002450835	0.20	marine environment	94.39	0.99	101	91.06669993	40.79765896	1250736	Chloroflexota	Dehalococcoidia	UBA6926	UBA6926	UBA6926	UBA6926 sp002450835
GCA_002451465	0.20	host	94.94	0	89	90.36556133	27.98671516	1160161	Firmicutes	Bacilli	RFN20	CAG-826	UBA4855	UBA4855 sp002451465
GCA_002452695	0.70	hydrocarbon	84.93	0.99	101	88.86126262	52.45537254	1817513	Chloroflexota	Dehalococcoidia	GIF9	UBA5629	UBA6808	UBA6808 sp002452695
GCA_002452795	0.20	hydrocarbon	91.75	0	101	90.07689069	49.49621558	954862	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	UBA6803	UBA6803 sp002452795
GCA_002455255	0.30	sludge	91.94	1.09	183	93.06358004	30.696585	2911401	Bacteroidota	Ignavibacteria	SJA-28	B-1AR	UBA9002	UBA9002 sp002455255
GCA_002455335	0.50	sludge	87.63	5	110	90.71082404	65.59334603	4785882	Chloroflexota	Anaerolineae	Anaerolineales	UBA6663	UBA6663	UBA6663 sp002455335
GCA_002455425	0.20	sludge	91.94	1.62	108	92.64829018	63.30352455	3347575	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	UBA6659	UBA6659 sp002455425
GCA_002455605	0.60	terrestrial	90.39	0.71	141	86.61635189	38.60670586	2687481	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Aminipila	Aminipila sp002455605
GCA_002455955	0.56	marine environment	86.98	1.98	101	88.42133251	50.7586165	1794032	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	UBA6627	UBA6627 sp002455955
GCA_002456995	0.80	marine environment	86.28	1.22	164	91.06434207	51.00698087	1613983	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	REDSEA-S09-B13	REDSEA-S09-B13 sp002456995
GCA_002469525	0.40	marine environment	85.8	1.08	185	90.80694809	53.57295273	2018742	Actinobacteriota	Actinomycetia	Nanopelagicales	S36-B12	UBA4592	UBA4592 sp002469525
GCA_002470515	1.00	marine environment	98.78	0.2	164	87.59504309	46.00246096	3431733	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	Arenicella sp002470515
GCA_002470605	0.75	freshwater enviroment	90.2	0.68	148	89.40342919	57.93177551	2114552	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA953	UBA953	UBA953 sp002470605
GCA_002471705	0.10	marine environment	85.65	0	91	89.13379184	50.16760988	1844268	Marinisomatota	Marinisomatia	Marinisomatales	S15-B10	UBA2146	UBA2146 sp002471705
GCA_002471845	0.20	marine environment	97.8	0	91	94.15564967	43.02468463	1866435	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TCS55	TCS55 sp002471845
GCA_002473085	0.30	wastewater	88.89	2.18	110	90.38528273	60.75719746	3017135	Chloroflexota	Anaerolineae	Anaerolineales	EnvOPS12	UBA7227	UBA7227 sp002473085
GCA_002474405	0.20	host	86.39	1.21	124	87.01640172	51.48520195	1765851	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA7597	UBA7597 sp002474405
GCA_002474415	0.30	host	84.66	2.42	207	88.61537541	43.78703598	2473573	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp002474415
GCA_002477805	0.20	host	88.28	2.25	89	85.38437412	32.32116964	1017069	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA7584	UBA7584 sp002477805
GCA_002477825	0.20	host	98.76	0	89	91.26370493	33.69960364	1597691	Firmicutes	Bacilli	RFN20	CAG-826	CAG-826	CAG-826 sp002477825
GCA_002477945	0.30	host	93.01	0.54	186	88.78462242	47.30842801	2277498	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp002477945
GCA_002478115	1.00	soil	90.55	1.71	117	84.80765055	57.99477139	5512597	Acidobacteriota	Acidobacteriae	UBA7541	UBA7541	UBA7541	UBA7541 sp002478115
GCA_002478145	1.00	soil	92.05	4.27	117	82.22493095	58.08540406	6337545	Acidobacteriota	Acidobacteriae	UBA7540	UBA7540	UBA7540	UBA7540 sp002478145
GCA_002478225	0.80	hydrocarbon	82.9	2.58	155	85.03206959	50.29099489	2668572	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	UBA5609	UBA5609 sp002478225
GCA_002478265	0.80	hydrocarbon	87.1	0.86	155	90.17101855	47.72514528	2344424	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	UBA4810	UBA4810 sp002478265
GCA_002478275	0.60	hydrocarbon	80	2.36	120	89.08243614	63.47904333	1814544	Actinobacteriota	Coriobacteriia	OPB41	UBA912	UBA7524	UBA7524 sp002478275
GCA_002478945	0.30	host	84.79	0	149	89.0057263	45.84205172	1748774	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	CAG-475	CAG-475 sp002478945
GCA_002479255	1.00	soil	97.48	0.84	119	88.98808616	61.34320484	3671360	Desulfobacterota_B	Binatia	Binatales	Binataceae	Binatus	Binatus soli
GCA_002479455	0.10	hydrocarbon	86.44	0	59	89.41446623	65.76470812	1790708	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	Bipolaricaulis	Bipolaricaulis sp002479455
