NCBI_RefSeq	Heme	checkm_completeness	checkm_contamination	checkm_marker_set_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus	Species
GCA_002733665	1	96.31	1.15	298	91.66069636	31.50237682	2706449	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Urechidicola	Urechidicola sp002733665
GCA_002734085	1	100	0.54	185	91.90331458	35.02922803	4031094	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	Brumimicrobium sp002734085
GCA_002746305	0.3	96.67	0	210	92.4706534	36.41035345	3874214	Bacteroidota	Bacteroidia	NS11-12g	UBA9320	UBA9320	UBA9320 sp002746305
GCA_002746415	1	98.02	1.1	303	90.91023726	35.49594665	3822399	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Saonia	Saonia sp002746415
GCA_002746975	0.7	98.12	2.69	186	94.78816789	39.55037354	2390714	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA974	UBA974 sp002746975
GCA_002840975	0.3	95.7	0.54	186	90.001907	41.52575367	3938131	Bacteroidota	Bacteroidia	Bacteroidales	F082	UBA6244	UBA6244 sp002840975
GCA_002841355	0.8	97.08	0.83	120	93.27965723	64.40092943	2446899	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA2286	UBA2286 sp002841355
GCA_002842515	0.5	97.62	1.43	210	94.19240146	40.83138991	2817619	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp002842515
GCA_002842575	1	96.65	1.55	263	89.78608334	34.05627147	3000935	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Planktosalinus	Planktosalinus sp002842575
GCA_002842755	0.3	96.77	1.34	186	89.30722205	37.94506081	4232857	Bacteroidota	Bacteroidia	Bacteroidales	F082	UBA6192	UBA6192 sp002842755
GCA_002862705	1	89.34	1.4	303	94.61501471	42.00509486	1565891	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA7446	UBA7446 sp002862705
GCA_002869335	0.5	95.01	1.34	186	91.14399926	35.00666435	4319286	Bacteroidota	Bacteroidia	Bacteroidales	Salinivirgaceae	Salinivirga	Salinivirga sp002869335
GCA_002869385	0.4	96.15	3.49	186	89.87325413	32.93628309	4248107	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-15	Bact-19	Bact-19 sp002869385
GCA_002869435	0.4	95.61	2.15	186	92.89430381	39.65442329	3353366	Bacteroidota	Bacteroidia	Bacteroidales	DTU049	BM518	BM518 sp002869435
GCA_002973575	1	100	0	203	92.43086147	44.95599499	4040222	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium magnilacihabitans
GCA_003050565	1	90.64	0	130	87.40273974	64.2935597	1689796	Firmicutes	Bacilli	DSM-22653	DSM-22653	Brockia	Brockia lithotrophica_A
GCA_003130815	1	92.12	0.5	136	94.14614952	31.78690296	1926356	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MS024-2A	MS024-2A sp003130815
GCA_003133285	1	85.85	1.17	120	89.31858263	68.40371847	1868928	Actinobacteriota	Coriobacteriia	OPB41	PALSA-660	PALSA-660	PALSA-660 sp003133285
GCA_003149635	1	99.46	0.54	185	91.04415486	42.77574529	3630065	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	UBA4466 sp003149635
GCA_003149915	0.1	90.45	1.12	89	91.21508665	34.82386024	1422450	Firmicutes	Bacilli	RF39	UBA660	CAG-988	CAG-988 sp003149915
GCA_003149935	0.3	100	0.81	124	89.96333368	59.12273233	2198748	Actinobacteriota	Coriobacteriia	Coriobacteriales	QAMH01	QAMH01	QAMH01 sp003149935
GCA_003150175	0.1	95.37	1.61	124	86.74783286	65.76384353	2076234	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella_E	Olsenella_E sp003150175
GCA_003150235	0.3	95.66	0.75	265	90.40513031	48.70054891	3481892	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum sp003150235
GCA_003150615	0.3	88.24	3.68	136	88.55603485	47.9341816	2043505	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	UBA1820	UBA1820 sp003150615
GCA_003153435	1	94.95	0.95	210	91.90031742	43.24561631	4018676	Bacteroidota	Bacteroidia	AKYH767	Palsa-965	Palsa-965	Palsa-965 sp003153435
GCA_003162595	0.1	81.27	3.49	186	87.88551527	38.17948018	3731013	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	LD21 sp003162595
GCA_003168265	1	98.77	0.49	203	90.22222832	44.08445498	4301747	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	Puia sp003168265
GCA_003249785	0.1	97.33	2.46	75	93.73987639	37.39910405	1469955	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	UBA2284	UBA2284 sp003249785
GCA_003251015	0.8	86.68	2.5	184	89.47099323	37.77837375	3109809	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	SZUA-582	SZUA-582 sp003251015
GCA_003446015	0.1	93.01	2.42	186	90.05016208	32.33624683	4644146	Bacteroidota	Bacteroidia	Bacteroidales	UBA12077	UBA12077	UBA12077 sp003446015
GCA_003453535	0.9	93.75	1.67	120	90.35051149	66.28631812	2221154	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA7930	UBA7930 sp003453535
GCA_003456175	1	80.51	1.48	203	77.2002493	39.8325847	3122328	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA10646	UBA10646 sp003456175
GCA_003499525	0.4	100	1.08	186	93.71907992	41.69033324	3259411	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	UBA10426	UBA10426 sp003499525
GCA_003501665	0.4	84.76	2.99	210	89.08198309	41.33819252	4892143	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	LD21 sp003501665
GCA_003531115	1	91.16	0.95	210	91.97157032	45.05579675	3532646	Bacteroidota	Bacteroidia	NS11-12g	UBA8524	UBA8524	UBA8524 sp003531115
GCA_003554025	0.4	96.36	0.67	75	91.68555103	48.56928995	1506979	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	T1SED10-81	T1SED10-81 sp003554025
GCA_003559855	0.5	97.04	1.08	186	84.8746969	38.44097708	2969719	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	PUKZ01	PUKZ01 sp003559855
GCA_003565555	1	97.85	0	186	90.41124038	53.45104239	3723078	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	T3Sed10-241	T3Sed10-241 sp003565555
GCA_003566715	1	96.77	1.08	186	91.47772992	44.96851618	2463170	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	CSBr16-58	CSBr16-58 sp003566715
GCA_003567625	0.5	86.02	2.69	186	86.30240217	37.51732038	2377979	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	PUKZ01	PUKZ01 sp003567625
GCA_003712125	1	99.01	0.77	303	93.9945143	41.95483351	3099333	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda_A	Muricauda_A sp003712125
GCA_003963025	0.6	82.26	1.67	283	90.58029146	32.36779081	2245027	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp003963025
GCA_003963365	1	99.01	0.49	203	90.28470306	38.18380245	4037540	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	AWTP1-9	AWTP1-9 sp003963365
GCA_004028795	1	99.51	0	203	91.77334308	34.45033236	3434530	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA1930	UBA1930 sp004028795
GCA_004144175	1	99.01	2.03	203	90.49218079	46.02264854	4344298	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavipsychrobacter	Flavipsychrobacter sp004144175
GCA_004144185	0.3	99.51	2.71	203	89.31567101	52.43360132	3318477	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA1952	UBA1952 sp004144185
GCA_004173255	1	97.12	2.01	202	90.87396961	49.82603511	5113965	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	46-32	46-32 sp004173255
GCA_004195325	0.3	92.5	1.75	57	91.89823423	32.07867535	1925284	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izemoplasma_B	Izemoplasma_B sp004195325
GCA_004210715	0.9	85.19	3.03	209	88.41405597	37.08971243	4186806	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp004210715
GCA_004292575	0.3	88.45	4.19	203	86.43163366	47.69014929	4074293	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	RDXD01	RDXD01 sp004292575
GCA_004295245	1	94.58	0.49	203	89.0220471	39.73185349	3371011	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter sp004295245
GCA_004295885	0.8	84.19	1.61	209	89.37728607	36.3888066	4432003	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp004295885
GCA_004297845	1	94.85	0.89	210	92.5175191	42.11500136	3469785	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	Palsa-948	Palsa-948 sp004297845
GCA_004322015	1	98.77	2.37	203	89.69209397	41.91948232	4514884	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	FW021-bin31	FW021-bin31 sp004322015
GCA_004322425	0.3	96.06	1.72	203	93.0229368	40.8572492	2238019	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	VBAS01	VBAS01 sp004322425
GCA_004348925	0.8	96.67	0.83	120	92.93234938	64.8549953	2245626	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA2286	UBA2286 sp004348925
GCA_004359435	0.8	87.23	0	93	91.44969122	37.77661767	1648420	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	PTET01	PTET01 sp004359435
GCA_004552155	0.3	92.58	4.3	269	84.72564643	54.44379905	2337932	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp004552155
GCA_004552445	0.2	89.16	2.81	89	91.37130293	25.89535041	1360808	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp004552445
GCA_004553095	0.3	92.6	3.92	265	90.89357136	50.61397134	1824678	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp004553095
GCA_004554255	0.2	84.68	4.79	265	90.17992861	53.74551023	2131512	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp004554255
GCA_004554455	0.3	86.19	1.54	210	92.74023103	55.1654615	1972060	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp004554455
GCA_004556745	0.4	95.48	0.93	269	85.5492311	54.45474816	2502981	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp004556745
GCA_004557185	0.3	93.62	0	269	84.50011291	58.14294803	2422237	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp004557185
GCA_004557385	0.2	95.66	3.58	265	88.34656111	49.51756473	2761614	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	SFTJ01	SFTJ01 sp004557385
GCA_004557565	0.3	95.66	0.13	265	86.15081049	47.924283	2825891	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
GCA_004558535	0.2	80.59	0.74	269	85.79658376	56.89425736	2244629	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp004558535
GCA_005882315	0.6	99.51	0	203	91.75641982	38.32860258	4714226	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	VBAS01	VBAS01 sp005882315
GCA_005883765	1	97.54	0.51	203	87.49472631	41.79571	4671773	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UTBCD1	UTBCD1 sp005883765
GCA_005884665	0.5	97.48	2.65	203	88.12423345	43.46695039	5695986	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	VBAT01	VBAT01 sp005884665
GCA_006218065	1	99.52	0.66	210	90.30254498	50.711188	5257400	Bacteroidota	Bacteroidia	AKYH767	Palsa-965	VBWE01	VBWE01 sp006218065
GCA_006969745	0.4	98.81	0.79	336	93.57284406	40.11987343	4167162	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	Ekhidna sp006969745
GCA_007117835	0.2	98.55	1.33	75	93.11339311	37.56310357	1363037	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	CSBR16-107	CSBR16-107 sp007117835
GCA_007123975	0.2	86	0.12	75	93.2291196	51.74380865	1206239	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	SLQR01	SLQR01 sp007123975
GCA_007125175	0.9	95.16	0.56	186	90.60307416	51.42963059	3347648	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	T3Sed10-241	T3Sed10-241 sp007125175
GCA_007280875	0.3	80.11	1.19	210	93.68539131	49.53385153	3028327	Bacteroidota	Bacteroidia	Bacteroidales	FEN-979	QYOJ01	QYOJ01 sp007280875
GCA_007693555	0.9	98.39	1.34	186	89.47711027	40.51323646	4233799	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	SKVR01	SKVR01 sp007693555
GCA_007695015	1	96.51	1.9	210	91.11627387	48.38333214	3416348	Bacteroidota	Bacteroidia	Bacteroidales	PUMT01	PXAP01	PXAP01 sp007695015
GCA_007695365	1	97.4	0.54	186	92.58636064	49.32054352	3520093	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	SKUL01	SKUL01 sp007695365
GCA_009177185	0.3	81.49	1.15	269	89.50078943	49.24918016	2418839	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4334	UBA4334 sp009177185
GCA_009668945	1	97.08	3.19	120	92.83914462	66.19837806	1922410	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA6100	UBA6100 sp009668945
GCA_009693575	0.3	91.73	0.03	210	90.83899344	43.773919	2436348	Bacteroidota	Bacteroidia	NS11-12g	SHWZ01	SHWZ01	SHWZ01 sp009693575
GCA_009773735	0.1	98.11	3.77	106	90.80213381	38.67936812	1943005	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	UBA2212	UBA2212 sp009773735
GCA_009774765	0.1	96.43	1.51	210	91.86317547	46.5394004	2647040	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp009774765
GCA_009776725	0.6	94.35	4.03	124	86.55766684	51.98385374	2338597	Actinobacteriota	Coriobacteriia	Coriobacteriales	UBA8131	WQXZ01	WQXZ01 sp009776725
GCA_009779675	1	92.08	1.53	120	89.72879039	59.75074997	1885737	Actinobacteriota	Coriobacteriia	OPB41	PHET01	WRDS01	WRDS01 sp009779675
GCA_009782605	0.4	96.77	0.27	124	88.33718002	61.76290221	1951895	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Raoultibacter	Raoultibacter sp009782605
GCA_009783085	0.9	95.36	0	124	89.37901944	49.84861472	1578423	Actinobacteriota	Coriobacteriia	Coriobacteriales	UBA8131	WRHU01	WRHU01 sp009783085
GCA_009783245	0.9	81.18	0.81	124	89.82431748	57.10661301	1990864	Actinobacteriota	Coriobacteriia	Coriobacteriales	UBA8131	WRHL01	WRHL01 sp009783245
GCA_009787085	0.7	98.12	0.81	124	88.60388317	57.19990611	1832010	Actinobacteriota	Coriobacteriia	Coriobacteriales	UBA8131	WRGR01	WRGR01 sp009787085
GCA_009884515	0	97.82	1.15	130	86.47962036	23.53926352	795917	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Mycoplasma_L	Mycoplasma_L liparidae
GCA_009908745	1	96.46	2.72	198	88.69645386	53.44672373	5389698	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	Phaeodactylibacter sp009908745
GCA_009908855	1	87.28	2.15	186	89.82856836	39.1606676	3354690	Bacteroidota	Bacteroidia	Bacteroidales	UBA10428	JAAAOM01	JAAAOM01 sp009908855
GCA_009921175	1	83.31	1.3	210	95.28039091	45.35689686	1540403	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	RFYP01	RFYP01 sp009921175
GCA_009925805	0.9	88.27	1.48	185	95.70162991	43.84048724	2056989	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA952	UBA952 sp009925805
GCA_009926245	0.4	86.7	2.66	210	95.71909982	53.23362605	1783153	Bacteroidota	Bacteroidia	UBA7662	UBA7662	SYHX01	SYHX01 sp009926245
GCA_009927485	0.3	92.13	0.6	210	95.26608261	50.94653068	1938289	Bacteroidota	Bacteroidia	UBA7662	UBA7662	SYHX01	SYHX01 sp009927485
GCA_009928005	0.3	96.39	1.23	203	93.56044498	33.90430516	2208165	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium sp009928005
GCA_009929095	0.1	86.75	0.79	105	88.92375964	44.57539573	2135824	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp009929095
GCA_009930445	0.3	90.73	3.94	186	90.57784758	42.50992546	3466087	Bacteroidota	Bacteroidia	Bacteroidales	BM520	BM520	BM520 sp009930445
GCA_009937235	0.8	90.94	4.21	186	94.34593521	43.7688235	2398929	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	SHAN690	SHAN690 sp009937235
GCA_011053095	0.4	89.29	1.83	210	92.65651395	43.28977472	4985466	Bacteroidota	Bacteroidia	Bacteroidales	SM23-62	SM23-62	SM23-62 sp011053095
GCA_011056635	0.6	88.41	2.44	186	94.00160072	52.37413674	3547163	Bacteroidota	Bacteroidia	Bacteroidales	GCA-2748055	GCA-2748055	GCA-2748055 sp011056635
GCA_011327585	0.4	94.62	1.08	186	91.99539633	41.26722992	2917671	Bacteroidota	Bacteroidia	Bacteroidales	DSWJ01	DSWJ01	DSWJ01 sp011327585
GCA_011330545	1	81.02	4.52	298	89.24366151	35.46430083	3130675	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureibaculum	Aureibaculum sp011330545
GCA_011331305	0.9	84.17	2.08	120	92.82466286	67.70449474	1818702	Actinobacteriota	Coriobacteriia	OPB41	PHET01	DSSC01	DSSC01 sp011331305
GCA_011331725	0.5	99.51	0	203	91.15583504	43.49242147	3295427	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	SpSt-398	SpSt-398 sp011331725
GCA_011357845	1	99.26	0	203	88.52885741	44.1700911	5151710	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA3961	UBA3961 sp011357845
GCA_011368025	0.1	97.52	0.25	202	91.78062618	54.92933539	3450202	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	M3007	M3007 sp011368025
GCA_011390785	0.9	91.68	1.08	186	88.85768388	39.88045101	4821520	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	SKVR01	SKVR01 sp011390785
GCA_011522855	0.9	82.85	0.36	186	93.58596162	63.77139395	2149878	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA8752	UBA8752 sp011522855
GCA_011522905	0.9	90.52	0.92	185	92.08778493	36.20869631	2063771	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA952	UBA952 sp011522905
GCA_011525035	0.3	98.39	0	186	94.96351972	46.41186811	1994091	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	UBA10364	UBA10364 sp011525035
GCA_011620605	0.5	93.71	0.71	210	94.86299305	46.4072784	2140001	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp011620605
GCA_012031785	0.8	89.52	2.02	198	82.67863404	39.16829445	4891635	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JAAUTG01	JAAUTG01 sp012031785
GCA_012033595	1	95.44	4.37	336	87.52001501	44.06532661	5746938	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	JAAUQL01	JAAUQL01 sp012033595
GCA_012510695	0.2	87.64	0	89	92.0333948	27.82809267	843245	Firmicutes	Bacilli	RF39	UBA660	JAAZHN01	JAAZHN01 sp012510695
GCA_012513875	0	81.46	0	89	91.25022697	28.63212036	776523	Firmicutes	Bacilli	RF39	UBA660	JAAZBI01	JAAZBI01 sp012513875
GCA_012515495	0.2	89.11	0.92	124	90.62384792	51.57453812	1543405	Actinobacteriota	Coriobacteriia	Coriobacteriales	UBA8131	UBA1419	UBA1419 sp012515495
GCA_012516665	0.2	96.19	0.89	105	91.32840116	44.64987848	2055215	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp012516665
GCA_012517435	0.4	97.98	0.55	183	93.06356878	39.27221154	3191944	Bacteroidota	Bacteroidia	CAILMK01	JAAYUY01	JAAYUY01	JAAYUY01 sp012517435
GCA_012518455	0.2	96.63	0	89	93.04105448	32.94548841	786053	Firmicutes	Bacilli	RFN20	CAG-826	JAAYSA01	JAAYSA01 sp012518455
GCA_012519055	0.2	98.89	2.14	210	90.12101402	35.6522336	2709934	Bacteroidota	Bacteroidia	Bacteroidales	Salinivirgaceae	JAAYQU01	JAAYQU01 sp012519055
GCA_012519525	0.4	97.58	0.54	186	91.0056409	33.12942478	1962808	Bacteroidota	Bacteroidia	Bacteroidales	WCHB1-69	UBA5266	UBA5266 sp012519525
GCA_012520055	0.2	90.08	2.25	89	90.605107	28.50154415	1194830	Firmicutes	Bacilli	RF39	UBA660	DUUS01	DUUS01 sp012520055
GCA_012520715	0.2	98	0	75	93.29583305	30.43689353	900082	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	DUQW01	DUQW01 sp012520715
GCA_012522535	0.4	96.59	0.54	186	91.49073652	35.39890904	2445194	Bacteroidota	Bacteroidia	Bacteroidales	WCHB1-69	JAAYKF01	JAAYKF01 sp012522535
GCA_012522795	0.4	96.77	1.61	186	88.39733433	37.147264	2879278	Bacteroidota	Bacteroidia	Bacteroidales	JAAYJT01	JAAYJT01	JAAYJT01 sp012522795
GCA_012523295	0.6	98.92	3.58	186	85.05853386	38.54870414	4000163	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	UPXZ01	UPXZ01 sp012523295
GCA_012523435	0.4	95.16	2.79	186	94.53658895	47.87086738	2638187	Bacteroidota	Bacteroidia	Bacteroidales	UBA12481	UBA12481	UBA12481 sp012523435
GCA_012523895	0.2	100	0.48	105	93.24781683	27.76151312	1751241	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	UBA9076	UBA9076 sp003537975
GCA_012727815	0.1	90.33	1.73	106	90.91839711	33.03638945	1446738	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix sp012727815
GCA_012727915	0.2	94.67	0	75	93.46809022	25.18770119	872930	Firmicutes	Bacilli	RF39	UBA660	JAAYGD01	JAAYGD01 sp012727915
GCA_012728465	0.3	92.42	3.28	183	86.54574735	36.26470667	2543404	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas	Petrimonas sp012728465
GCA_012729405	0.2	97	1.12	89	91.45455028	40.29330236	979808	Firmicutes	Bacilli	RFN20	CAG-826	JAAYDH01	JAAYDH01 sp012729405
GCA_012729475	0.4	97.38	1.67	210	90.41040791	39.15511124	2970971	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	LD21 sp012729475
GCA_012744375	0.2	97.53	1.69	89	90.76615553	36.23394543	1129118	Firmicutes	Bacilli	RFN20	CAG-826	RUG14515	RUG14515 sp012744375
GCA_012799635	0.2	85.96	0	89	90.52695373	26.86836185	1146780	Firmicutes	Bacilli	RF39	UBA660	CAG-460	CAG-460 sp012799635
GCA_012837395	0.2	94.67	0.12	75	92.59486312	28.01551932	962413	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma_A	Acholeplasma_A sp012837395
GCA_012837435	0.2	97.75	0	89	91.38430444	36.29565176	1125121	Firmicutes	Bacilli	RFN20	CAG-826	RUG14515	RUG14515 sp012837435
GCA_012837565	0.3	94.27	4.57	186	89.7124421	33.96748863	2127502	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA10566	UBA10566 sp012837565
GCA_012837765	0.2	91.69	1.28	89	90.50358324	28.27814365	1005653	Firmicutes	Bacilli	RF39	UBA660	UBA5348	UBA5348 sp012837765
GCA_012838065	0.2	97.33	0	75	92.89356119	32.38955856	1182097	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	DUPY01	DUPY01 sp012838065
GCA_012838395	0.2	91.01	0	89	90.68069666	28.21891582	802281	Firmicutes	Bacilli	RF39	UBA660	DUPI01	DUPI01 sp012838395
GCA_012838635	0.2	98.56	0	75	93.22081959	30.47079484	1040347	Firmicutes	Bacilli	ML615J-28	CAG-698	DUNF01	DUNF01 sp012838635
GCA_012838685	0.3	95.56	3.84	210	91.11261807	43.48464278	2186887	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	DUOU01	DUOU01 sp012838685
GCA_012839475	0.3	99.45	0.55	183	90.2449301	49.22530186	3386803	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Fermentimonas	Fermentimonas sp012839475
GCA_012841205	0.2	89.33	0	89	90.95669478	29.387148	883427	Firmicutes	Bacilli	RF39	UBA660	UBA5348	UBA5348 sp012841205
GCA_012931685	1	99.67	0	303	93.07126814	33.44888133	3182516	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pseudobizionia	Pseudobizionia ponticola
GCA_012959395	0.2	83.82	1.1	136	94.26113077	29.00942268	1485432	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MAG-121220-bin8	MAG-121220-bin8 sp012959395
GCA_013001595	1	98.14	3.76	202	88.11007168	43.63180406	6207119	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JABDMH01	JABDMH01 sp013001595
GCA_013001705	0.3	92.1	2.17	186	94.39046466	49.50638858	2758749	Bacteroidota	Bacteroidia	Flavobacteriales	JABDKJ01	JABDLZ01	JABDLZ01 sp013001705
GCA_013002625	1	86.57	1.98	202	93.22928867	39.01987156	3107960	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	RFSX01	RFSX01 sp013002625
GCA_013003655	0.9	73.8	2.45	303	93.35475416	34.86399032	1984050	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp013003655
GCA_013042925	1	83.36	4.65	303	91.40975735	37.4318854	2909068	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Eudoraea	Eudoraea sp013042925
GCA_013044305	0.8	84.22	2	210	90.30355964	46.58562543	2420414	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01	JABEUT01 sp013044305
GCA_013112545	1	100	0	186	92.10494326	34.00300018	3265803	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	BCD18	BCD18 sp013112545
GCA_013112825	0.9	82.26	0.54	186	93.88178673	36.34453092	2529513	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	BCD5	BCD5 sp013112825
